idn,akz,bbg,standort,signatur_g,signatur_a,jahr,titel,stuecktitel,umfang,f4243,f4256,f4241,f4105_9,f4105_g,ausleihcode,f4801_a,einrichtung,exemplar
999824015,L-1796-169506053,Aal,DBSM/F/Bö,Bö B I 42/4°,Bö B I 42/4°,1796,Lʹ @Arte di scrivere tratta dal Dizionario dʹarti e mestieri dellʹEnciclopedia metodica : , : ,"56 S. Text, XV Tav. Kupf.",,,,,,,,1,02
994698968,L-1818-157574970,Aal,DBSM/F/Bö,Bö B I 279,Bö B I 279,1818,"Elementos teórico-prácticos del arte de escribir por principios con las reglas generales, y particulares del carácter bastardo español : Dispuestas su", : ,"XVI, 78 S., [1] gef. Bl.",,,,,,,,1,02
998959685,L-1777-167259407,Aal,DBSM/F/Bö,Bö B I 294,Bö B I 294,1777,"Arte de escribir, ortografia de la pluma y honra de los profesores de este magisterio : obra dividida en XII. dialogos eruditos ...", : ,"[16] Bl., 255 S.",,,,,,,,1,02
1001314530,L-1708-174156588,Aal,DBSM/F/Bö,Bö B I 298,Bö B I 298,1708,"Der @wohl=erfahrne In allerhand ungemein-Curieusen Schreib-Arten auch sowol ergötzlichen als Sinn-reichen Gemüths-Übungen Anweisende Schreib Künstler,", : ,"Tit. Kupf., [7] Bl., 462 S., [18] Bl.",,,,,,,,1,02
994252668,L-1722-154872350,Afl,DBSM/F/Bö,Bö B I 305/2°,Bö B I 305/2°,1722,"[Nova Escola para aprender a ler, escrever et contar","[Pt. 1.] : Exercicio o louvor das letras, que o mundo acclamatem na nobresa o melhor berço, aque illustrata a fama por mais sagrada y splendor","[1], 44 Kupf.-Taf.",,,,,,,"Taf. 44 m. Datum: 1718. - [s. Bonacini, Nr 65 - 66]",1,02
993915078,L-1795-154003360,Aal,DBSM/F/Bö,Bö B I 306,Bö B I 306,1795,"Arte de escribir por reglas y sin muestras, establecido de orden superior en los Reales Sitios de San Ildefonso y Valsain despues de haberse experimen", : ,"[4] Bl., XXXIX, 111 S., [29] z.T1 dopp. seit. Kupf.",,,,,,,In zeitgenöss. Einbd,1,02
99406280X,L-1647-154450324,Aal,DBSM/F/Bö,Bö B I 311/4°,Bö B I 311/4°,1707,"Les @Écritures Financiere, Et Italienne-Bastarde Dans Leur Naturel ... : Avec Des Alphabets Et Pieces D'Écritures Des Nations Etrangeres", : ,"Tit., [1] Bl. Text m. Hinweis d. Verlegers, Portr., [53] Taf",,,,,,,,1,02
994120303,L-1770-154528331,Aal,DBSM/F/Bö,(Großformate),Bö B I 319/2°,1770,"Les @Agrémens de l'Écriture Moderne, Ou Exposition du Gout actuel des François sur l'Art d'Écrire : Dédié à Monsiur le Marquis de Thiboutos", : ,23 Kupf.-Taf. einschl. Tit.,,,,,,,,1,02
994227140,L-1743-154844934,Aal,DBSM/F/Bö,Bö B I 323,Bö B I 323,1743,"The @Universal Penman : Or the art of writing made useful to the gentleman and scholar, as well as the man of business ...", : ,"Frontisp., 212 Kupfertaf. einschl. 2 Tit. u. 2 Widmgsbll.; mit bes. Zählg d. Dopp. Bogen: I-LII",,,,,,,enthielt vor der Komplettrestaurierung (ca. 1970er Jahre) ein eingekl. herald. adlig. Kupf. Exlibris,1,02
994248199,L-1732-154867489,Aal,DBSM/F/Bö,Bö B I 324,Bö B I 324,1732,Les @elemens ou premières instructions de la jeunesse : , : ,"Verf. Portr., [6] Bl., 20 S., [40] Kupf. Taf., 323 S., [2] Bl.",,,,,,,,1,02
99424603X,L-1732-15486515X,Aal,DBSM/F/Bö,Bö B I 324 a,Bö B I 324 a,1732,Nouveaux exemplaires d'Écriture d'vne beauté Singuliere Ecrits par Estienne de Blegny Me Écriuain à Paris Iuré expert Étably pour Verifier les Écritur, : ,39 [statt 40] Kupf.-Taf.,,,,,,,Taf.-Nr. z.T. weggeschnitt.; Taf. 40 m. Textschluß fehlt,1,02
994377800,L-1766-155561243,Aal,DBSM/F/Bö,Bö B I 329/4°,Bö B I 329/4°,1766,Vorschrift :||Zu nutzlicher Nach-||-ahmung und einer|| fleißigen Ubung zu gutem|| vorgestellt und geschrieben : , : ,"17 Taf. d.s.: Frontisp., Tit., 3 - 14, [15], 16, [17], [1] Bl. typogr. Text: ""Vorbericht""",,,,,,,Zeitgen. Pappbd a. süddt. goldgeprägt. Buntpapier,1,02
994405464,L-1799-155716743,Aal,DBSM/F/Bö,Bö B I 331/4°,Bö B I 331/4°,1799,Butterworth's|| Universal Penman|| Or The|| Beauties of Writing Delineated|| In all the various hands now practised.|| Designed|| For The ||Improvemen, : ,32 Kupf. Taf. einschl. Tit.,,,,,,,,1,02
994698852,L-1829-15757489X,Aal,DBSM/F/Bö,Bö B I 334,Bö B I 334,1829,"Metodo di G. Carstairs, falsamente chiamato metodo Americano ossia l'arte d'imparare a scrivere o migliorare la scrittura in poche lezioni : ", : ,"[2] Bl., 63 S.",,,,,,,,1,02
994521820,L-1758-156363704,Aal,DBSM/F/Bö,Bö B I 338/4°,Bö B I 338/4°,1758,Practical and ornamental Penmanship : a new copy book, : ,"[4] Bl. typogr. Text, 30 Kupfertaf.",,,,,,,,1,02
994540655,L-1813-156399652,Aal,DBSM/F/Bö,Bö B I 343/4°,Bö B I 343/4°,1813,Nuova Raccolta di diversi caratteri scritti da Angelo Cominotti in Livorno : , : ,20 Kupfertaf.,,,,,,,,1,02
994578091,L-1559-15687587X,Aal,DBSM/F/Bö,Bö B I 345,Bö B I 345,1559,La|| @Vera Maniera|| del Scriver Corsivo|| Cancellaresco : , : ,LVI S.,,,,,,,S. 32 handschr. dat.: Romae ... 1559,1,02
994643454,L-1588-157184129,Afl,DBSM/F/Bö,Bö B I 349,Bö B I 349,1588,La @notomia delle Cancellaresche corsiue & altre Maniere di Lettere,2 : ,"45, [2] Taf.",,,,,,,"Taf. 2, 14 u. 37 fehlen",1,02
994643535,L-1593-157184188,Afl,DBSM/F/Bö,Bö B I 349,Bö B I 349,1593,La @notomia delle Cancellaresche corsiue & altre Maniere di Lettere,3. : Il Teatro delle Cancellaresche corsiue per Secretari et altre maniere di Lettere,42 Taf.,,,,,,,"Taf. 2, 5 u. 38 fehlen",1,02
994693214,L-1772-157568458,Aal,DBSM/F/Bö,Bö B I 351 a/2°,Bö B I 351 a/2°,1772,Ammaestramenti Teorieopratici Indirizzati ad agevolare il modo d'imparare da per se La Scrittura Moderna : , : ,"44, [2] Taf.",,,,,,,Ausg. ohne Portr.,1,03
994693214,L-1772-157568520,Aal,DBSM/F/Bö,Bö B I 351 b/2°,Bö B I 351 b/2°,1772,Ammaestramenti Teorieopratici Indirizzati ad agevolare il modo d'imparare da per se La Scrittura Moderna : , : ,"44, [2] Taf.",,,,,,,,1,04
994693214,L-1772-157568423,Aal,DBSM/F/Bö,Bö B I 351/2°,Bö B I 351/2°,1772,Ammaestramenti Teorieopratici Indirizzati ad agevolare il modo d'imparare da per se La Scrittura Moderna : , : ,"44, [2] Taf.",,,,,,,Ausg. ohne Portr.,1,02
995118566,L-1719-158797752,Aal,DBSM/F/Bö,(Großformate),Bö B I 352/2,1719,Le @Trésor|| Des Novvelles|| Escritures de Finances|| et Italiennes bastardes|| A la Mode|| Auec les belles Instructions &|| Secrets dudit Art|| Dedié, : ,"Gest. Tit., Portr., 4 S., typogr. Text ""Au Lecteur"" [19] Kupf. Taf.",,,,,,,,1,02
996389113,L-1797-162081979,Aal,DBSM/F/Bö,Bö B I 361/2°,Bö B I 361/2°,1797,Alfabeto di Lettere Iniziali Adorno Di Animali e proseguito Da Vaga Serie Di Caratteri : , : ,"Kupf. tit., [24] sign, Kupf. Taf.",,,,,,,,1,02
997039620,L-1820-163256535,Afl,DBSM/F/Bö,Bö B I 365/4° - 3,Bö B I 365/4° -3,1820,Musterblätter für Liebhaber der höhern Kaligraphie,H. 3 : ,"Gest. Tit., [10 statt 12] Taf.",,,,,,,,1,02
997039345,L-1820-163256233,Afl,DBSM/F/Bö,Bö B I 365/4° - 1,Bö B I 365/4° - 1,1820,Musterblätter für Liebhaber der höhern Kaligraphie,H. 1 : ,"Gest. Tit., [14] Taf.",,,,,,,,1,02
997039469,L-1820-163256357,Afl,DBSM/F/Bö,Bö B I 365/4° - 2,Bö B I 365/4° - 2,1820,Musterblätter für Liebhaber der höhern Kaligraphie,H. 2 : ,"Gest. Tit., [14] Taf. 5, 6, 9, 10, 13 - 14",,,,,,,,1,02
997140933,L-1798-16342294X,Afl,DBSM/F/Bö,Bö B I 368/4°,Bö B I 368/4°,1798,"Anleitung zur Schönschreibkunst vom Schreibmeister Joseph Anton Heß, Würzburg",H. 1 : ,"[1 Kupf.-Tit.], [Taf.] 1 - 8",,,,,,,,1,02
997141042,L-1798-163423059,Afl,DBSM/F/Bö,Bö B I 368/4°,Bö B I 368/4°,1798,"Anleitung zur Schönschreibkunst vom Schreibmeister Joseph Anton Heß, Würzburg",H. 2 : ,[Taf.] 9 - 16,,,,,,,,1,02
997141115,L-1798-163423180,Afl,DBSM/F/Bö,Bö B I 368/4°,Bö B I 368/4°,1798,"Anleitung zur Schönschreibkunst vom Schreibmeister Joseph Anton Heß, Würzburg",H. 3 : ,[Taf.] 1 - 8,,,,,,,,1,02
997141247,L-1799-163423369,Afl,DBSM/F/Bö,Bö B I 368/4°,Bö B I 368/4°,1799,"Anleitung zur Schönschreibkunst vom Schreibmeister Joseph Anton Heß, Würzburg",H. 4 : ,[Taf.] 1 - 8,,,,,,,,1,02
997141360,L-1799-163423520,Afl,DBSM/F/Bö,Bö B I 368/4°,Bö B I 368/4°,1799,"Anleitung zur Schönschreibkunst vom Schreibmeister Joseph Anton Heß, Würzburg",H. 5 : ,[Taf.] 9 - 16,,,,,,,,1,02
997141425,L-1799-163423601,Afl,DBSM/F/Bö,Bö B I 368/4°,Bö B I 368/4°,1799,"Anleitung zur Schönschreibkunst vom Schreibmeister Joseph Anton Heß, Würzburg",H. 6. : ,"[1 Kupf.-Tit.], [Taf.] 1 - 7",,,,,,,,1,02
997241047,L-1820-163537127,Aal,DBSM/F/Bö,Bö B I 371,Bö B I 371,1820,An @Introduction to writing and grammar : , : ,"VI S., 7, [1] Kupf.-Taf. [nch Taf. 6 eingeschalt., 2] Bl. Erklärg d. Kupf., 15 S., [1] Bl. Buchanzeigen",,,,,,,Im alt. Broschurumschlag. - Taf. 1 sign.: J. Hodgkin script,1,02
998631450,L-1830-166610070,Aal,DBSM/F/Bö,Bö B I 388,Bö B I 388,1830,Cinquanta tavole alfabetiche che formano un curso di calligrafia interessante a qualunque classe di persone : , : ,Kupf. Tit. Kupf. Taf. 2 - 49,,,,,,,,1,02
998553425,L-1752-166480266,Aal,DBSM/F/Bö,Bö B I 390,Bö B I 390,1752,"Nouveau Livre d'Écriture pour apprendre de soimême à écrire, à dresser des mémoires de depense et autres et la nouvelle manière de dresser des Lettres", : ,64 Bl. Kupf.,,,,,,,Bl. 14 fehlt!,1,02
999198246,L-1775-16770382X,Aal,DBSM/F/Bö,Bö B I 397,Bö B I 397,1775,"Anleitung zur Schönschreibekunst, mit gnädigster Freiheit Seiner Hochfürstln Durchlt Hern Ludwigs des IXten regierenden Landgrafen zu Hessen-Darmstatt", : ,31 Taf.,,,,,,,,1,02
999398075,L-1800-168292319,Aal,DBSM/F/Bö,(Großformate),Bö B I 405/2°,1797,Principes de lʹ Écriture : , : ,"Kupf. Tit., [Taf. 1], [Taf.] 2 - 20",,,,,,,,1,02
999590898,L-1601-168582546,Afl,DBSM/F/Klemm,Bö B I 408,Bö B I 408,1601,"Schreibkunst, Das erste Theil [bezw.:] Das ander Theil ... Durch|| Antonium Newdörfer Rechenmaister vnd|| Modist der Statt Nurnberg","1. : Inn|| Welchem die künstliche Außtheil-||ung des gantzen Kils, Temperierung vn[d]|| Proportionierung desselben, auch wie|| man die Feder recht fassen sol. Nachmals:|| der Grund des zierlichen Teutschen Schreibenß|| vfs klerlichtst angezeigt","Kupf. Tit. v. Heinr. Ullrich, [45] Bl.",,,,,,,,1,02
999591398,L-1601-168582988,Afl,DBSM/F/Bö,Bö B I 408,Bö B I 408,1601,"Schreibkunst, Das erste Theil [bezw.:] Das ander Theil ... Durch|| Antonium Newdörfer Rechenmaister vnd|| Modist der Statt Nurnberg","2. : ... Begreifft in sich|| Neun vnd zwaintzig schöne|| Teutsche VersalAlphabet,|| allerley manier, ...","[58] Bl., einschl. aufgedruckt. Kupf. Tit. v. Heinr. Ullrich",,,,,,,,1,02
99974187X,L-1766-169081966,Aal,DBSM/F/Bö,Bö B I 411,Bö B I 411,1770,"Tratado del origen, y arte de escribir bien: ilustrado con veinte y cinco laminas : Obra utilisima para que asi maestros, como discipulos, y quantos s", : ,"Frontisp., Tit., [1] Bl. Kupf. Widmg, [5] Bl.136 S., [2] Kupf. Taf., [2] Bl. Druckschr. Proben",,,,,,,,1,02
999823469,L-1765-169505510,Afl,DBSM/F/Bö,Bö B I 413/2°,Bö B I 413/2°,1765,Art dʹEcrire réduit à des démonstrations vraies et faciles,T. 2 : ,"XVI Taf. (=Taf. 114 - 129), 16 S.",,,,,,,,1,02
999826239,L-1540-169508250,Aal,DBSM/F/Bö,Bö B I 415,Bö B I 415,1540,"Libro Nvovo Da|| Imparare A Scrivere Tvtte|| Sorte Lettere Antiche Et Moderne|| Di Tvtte Nationi, con Nvove|| Regole, Misvre|| Et Essempi|| Con vn bre", : ,[52] Bl.,,,,,,,,1,02
999827464,L-1545-169509362,Aal,DBSM/F/Bö,Bö B I 417,Bö B I 417,1545,"Libro Di M. Giovambattista|| Palatino Cittadino Romano|| Nel qual sʹinsegna a scriuere ogni sorte lettera, antica, & moder||na, di qualunque natione, ", : ,[56] statt 64 Bl.,,,,,,,Bog. H. m. Kolophon fehlt. - Das vorlieg. Ex. ist aus 2 verschied. Druckausgaben der erweit. Ausg. von 1545 zs. gestellt; denn Bl. 31 u. 33 sind bei verschiedener Bogensignatur Wiederholungen vom gleichen Holzstock,1,02
999828193,L-1548-16951014X,Aal,DBSM/F/Bö,Bö B I 418,Bö B I 418,1548,"Libro Di M. Giovanbattista|| Palatino Cittadino Romano,|| nel qual sʹinsegna à Scriuere ogni lettera, Anti||ca, et Moderna, di qualunque natione, con ", : ,[43] statt 64 Bl.,,,,,,,"Es fehlen: B3, 6; C4-6; D2-3, 6-7; E1, 4-5, 8; F2,7; G3-6, 8",1,02
999953133,L-1693-169765539,Aal,DBSM/F/Bö,Bö B I 430/4°,Bö B I 430/4°,1693,"[Schriftvorlagen] : [Sammelband, wahrscheinlich aus einer Ausgabe des ""Exemplaarboeck"" zsgest. Taf. z.T. sign.:] ""A. Perling scripts. et sculpt"" ; [Ta", : ,[5] Taf.,,,,,,,,1,02
999953575,L-1685-169765989,Aal,DBSM/F/Bö,Bö B I 431 (Großformate),Bö B I 431,1685,"Groote en kleene Voorbeelden van Latynse, Italiaanse, Romeynse Naam en Getal-Letteren, seer dienstig voor Schilders, Merk, Letter en Wapensnyders : ", : ,"Tit. [=Taf. 1], Taf. 2 - 8",,,,,,,,1,02
1000041611,L-1620-169916529,Aal,DBSM/F/Bö,Bö B I 437,Bö B I 437,1620,Essempij del Pisenti : Lʹidea del vero scrivere cancellaresco e corsivo de scrittori diversi, : ,Kupf. Tit. Taf. 2 - 34,,,,,,,"Angeb.:1 Bl. orig. Federzeichng, kalligraph., mit Widmg für Lorenzo Zanzini, Parma, unterzeichn.: Rossi: [ca. 17. Jh.]",1,02
1000651371,L-1758-170985369,Aal,DBSM/F/Bö,(Großformate),Bö B I 445/2°,1758,Le @Grand-Art|| dʹécrire|| Necessaire à ceux qui veulent se perfectionner dans cette Science|| ... dedié|| Aux Enfans de France|| : , : ,30 Kupfertafeln,,,,,,,,1,02
1000711277,L-1820-180349104,Afl,DBSM/F/Bö,Bö B I 446 - 1,Bö B I 446 - 1,1820,Systematische Anweisung zum Schön- und Geschwindschreiben und zur Prüfung deutscher Hand- und Druckschriften,Teil 1. : ,"XVI, XVI, 494 S.",,,,,,,,1,03
1003598099,L-1793-180266608,Afl,DBSM/F/Bö,Bö B I 446 (Großformate),Bö B I 446 - 1.Tafelbd.,1793,Systematische Anweisung zum Schön- und Geschwindschreiben und zur Prüfung deutscher Hand- und Druckschriften,"Tafelbd., Teil 1 : , Systematische Anweisung zum Schönschreiben","Kupf.-Tit., 72 Taf.",", ",,,,,,"Tit. sign.: Schurich inv., C. F. Holtzmann fecit",1,02
1003621309,L-1818-180349376,Afl,DBSM/F/Bö,Bö B I 446 - 3,Bö B I 446 - 3,1818,Systematische Anweisung zum Schön- und Geschwindschreiben und zur Prüfung deutscher Hand- und Druckschriften,"Teil 3. : Anweisung, die deutsche Sprache nach d. rein hochdt. Mundart richtig auszusprechen u. zu schreiben","VI, 341 S.",,,,,,,,1,02
1003621716,L-1817-180349856,Afl,DBSM/F/Bö,Bö B I 446,Bö B I 446 - 3 (angebunden),1817,Systematische Anweisung zum Schön- und Geschwindschreiben und zur Prüfung deutscher Hand- und Druckschriften,"Teil 3., Nachtr. [1] : Anweisung, die deutsche Sprache nach d. rein hochdt. Mundart richtig auszusprechen u. zu schreiben, ","IV, 72 S.",", ",,,,,,,1,02
1003621880,L-1821-180350021,Afl,DBSM/F/Bö,Bö B I 446 - 3 (angebunden),Bö B I 446 - 3 (angebunden),1821,Systematische Anweisung zum Schön- und Geschwindschreiben und zur Prüfung deutscher Hand- und Druckschriften,"Teil 3., Nachtr. [2] : Anweisung, die deutsche Sprache nach d. rein hochdt. Mundart richtig auszusprechen u. zu schreiben, Fortsetzung des Nachtrages zum dritten Theile des systematisch-kalligraphischen und orthographischen Werkes","IV S., S. 73 - 124",", ",,,,,,,1,02
1000714128,L-1741-171054784,Aal,DBSM/F/Bö,(Großformate),Bö B I 447/2°,1741,Lʹ @Art d'Écrire|| Nouvellement mis au jour|| : Sur les differens Caractères les plus usitez||, : ,"[1] Bl. Privileg, 30 Taf., einschl. Kupf. Tit.",,,,,,,,1,02
1000778924,L-1785-171143485,Aal,DBSM/F/Bö,(Großformate),Bö B I 448/2°,1785,Démonstrations de lʹArt dʹÉcrire : , : ,22 Taf.,,,,,,,,1,02
999822446,L-1760-169504352,Aal,DBSM/F/Bö,Bö B I 449/2°,Bö B I 449/2°,1760,"Alphabets mineurs: Ronde, Batardes, Coulée : [Schreibvorlage]", : ,,,,,,,,,1,02
1000784134,L-1731-171148738,Qd,DBSM/F/Bö,Bö B I 449/2°,Bö B I 449/2°,1731,Vorschriften : [Zusammenstellung aus verschiedenen Schreibvorlagenbüchern], : ,"12 Kupf.-Taf., versch. Plattengröße",,,,,,,,1,02
1001719972,L-1760-17544434X,Aal,DBSM/F/Bö,(Großformate),Bö B I 449/2°,1760,[Schreibvorlagen] : , : ,,,,,,,,,1,02
