idn,akz,bbg,signatur_g,jahr,titel,stuecktitel
012397458,L-1785-405940866,Abvz,"IV 8, 21",1785,Le @cabinet des fées ou collection choisie des contes des fées et autres contes merveilleux : ornés de figures, : 
017838088,L-1665-212363700,Abvz,"IV 8, 77",1665,Journal des sçavans : , : 
012817910,L-1770-154682675,Abvz,"IV 13 A, 2",1770,Der @Bibelfreund : e. theol. Wochenschr, : 
019810407,L-1755-784284628,Abvz,"IV 16, 5",1755,Schauplaz hoher Ritter-Orden : , : 
011854049,L-1783-23643778X,Abvz,"IV 16, 25",1783,"Neueste Sammlung jener Schriften, die von einigen Jahren her über verschiedene wichtige Gegenstände zur Steuer der Wahrheit im Drucke erschienen sind ", : 
018970842,L-1769-179298615,Abvz,"IV 28 C, 3",1769,"Vollständige Auszüge aus den besten chirurgischen Dispüten aller Akademien : nebst Anzeigen der neuesten chirurgischen Bücher, und einem Anhange chiru", : 
013465139,L-1784-164550291,Abvz,"IV 33, 16a",1784,Historisch-genealogischer Kalender : auf das Jahr ... ; Deutschland ein histor. Gemälde, : 
013158090,L-1742-174156049,Abvz,"IV 33, 17",1742,"Genealogischer Schreib- und Postkalender : welcher vorstellet d. Genealogie d. jetzt lebenden hohen Häupter u. anderer fürstl. Personen, wie auch d. P", : 
01274042X,L-1746-163481385,Abvz,"IV 33, 23",1746,Histoire de l'Académie Royale des Sciences et des Belles Lettres de Berlin : depuis ... ; avec les mémoires tirez des registres de cette Academie, : 
011383003,L-1740-168503700,Abvz,"IV 33, 24",1740,Berlinische Nachrichten von Staats- und gelehrten Sachen : , : 
012707457,L-1778-16907966X,Abvz,"IV 33, 43 b",1778,Olla potrida : eine Quartalschrift, : 
011974702,L-1774-154496561,Abvz,"IV 33, 47",1774,Berliner Beiträge zur Landwirthschaftswissenschaft : , : 
019775253,L-1785-155729578,Abvz,"IV 48, 9/c",1785,Sammlung interessanter und durchgängig zweckmäßig abgefaßter Reisebeschreibungen für die Jugend : , : 
012808628,L-1744-192233335,Abvz,"IV 50, 6",1744,Neue Beyträge zum Vergnügen des Verstandes und Witzes : , : 
019676980,L-1740-171505050,Abvz,"IV 56, 2",1740,Büdingische Sammlung einiger in die Kirchen-Historie einschlagender sonderlich neuerer Schrifften : nebst darzu gehörigen Registern, : 
019345429,L-1712-165100435,Abvz,"IV 72, 5",1712,"Kern des ietzo florirenden Leipzigs : worinnen nicht nur überhaupt die Titul an die Universität ..., sondern auch die Nahmen derer vornehmen Personen ", : 
015178161,L-1592-16772861X,Abvz,"IV 74, 25",1592,"Mercurii Gallobelgici, sive rervm in Gallia et Belgio potissimvm: Vngaria qvoqve, Germania, Polonia, Hispania, Italia, Anglia, alibique gestarum ... n", : 
012650064,L-1730-163043094,Abvz,"IV 90, 15",1730,Der @Königlichen Pohlnischen Churfürstlichen Residentz Stadt Dreßden wöchentlicher Anzeiger oder Nachricht : , : 
012650064,L-1730-163043140,Abvz,"IV 90, 15/a",1730,Der @Königlichen Pohlnischen Churfürstlichen Residentz Stadt Dreßden wöchentlicher Anzeiger oder Nachricht : , : 
011921900,L-1783-177454997,Abvz,"IV 90, 28a",1783,Transactions of the Society of Arts : ,",  : , "
012650080,L-1749-183498437,Abvz,"IV 90, 40",1749,Dreßdnische Frag- und Anzeigen : , : 
019304218,L-1580-164550712,Abvz,"IV 100, 12",1580,"Calender auff das Jhar Jhesu Christi ... nach Erschaffunge der Welt : in welchem die Güldenzahl 4, ... Sonnen-Circkel 21, der Römischen Keiser Zinßzah", : 
019304218,L-1580-164550739,Abvz,"IV 100, 12 a",1580,"Calender auff das Jhar Jhesu Christi ... nach Erschaffunge der Welt : in welchem die Güldenzahl 4, ... Sonnen-Circkel 21, der Römischen Keiser Zinßzah", : 
012721514,L-1784-288296257,Abvz,"IV 114, 62",1784,Journal von und für Deutschland : , : 
016525507,L-1741-168505118,Abvz,"IV 128, 4",1741,"Gesamlete Nachrichten und Documente den gegenwärtigen Zustand des Hertzogthums Schlesiens, Königreich Böhmens und Ertz-Herzogthum Oesterreichs betreff", : 
011188596,L-1770-178514683,Abvz,"IV 129, 4",1770,Musenalmanach : , : 
012724270,L-1780-167293818,Abvz,"IV 129, 8",1780,Göttingisches Magazin der Wissenschaften und Litteratur : , : 
012169153,L-1776-647112027,Abvz,"IV 129, 9",1776,Göttinger Taschen Calender Für das Jahr ... : ,", ,  : , , "
01122164X,L-1763-163045720,Abvz,"IV 131, 6",1763,"Almanach de Gotha : annuaire généalogique, diplomatique et statistique",", , , , , , , , , ,  : , , , , , , , , , , "
012764744,L-1764-170483177,Abvz,"IV 131, 9 c",1764,Gothaischer Hofkalender zum Nutzen und Vergnügen : ,",  : , "
015255263,L-1761-164466924,Abvz,"IV 142, 15",1761,Journal des dames : , : 
012621080,L-1752-154743070,Abvz,"IV 144, 19a",1752,Altes und Neues von Schulsachen : , : 
015244172,L-1774-288296354,Abvz,"IV 144, 32",1774,Die @Akademie der Grazien : eine Wochenschrift zur Unterhaltung des schönen Geschlechts, : 
013466216,L-1743-412998866,Abvz,"IV 144, 35",1743,"Johann Peter von Ludewigs, ICti ... Gelehrte Anzeigen, In alle Wissenschafften, so wol geistlicher als weltlicher, alter und neuer Sachen, Welche vorm", : 
012706442,L-1776-178441678,Abvz,"IV 145, 6",1776,Musen-Almanach : , : 
013033123,L-1777-165123958,Abvz,"IV 145, 10a",1777,"Hamburgscher Kinderalmanach : auf das Jahr ..., oder Weihnachtsgeschenk für Kinder in angenehmen u. lehrreichen Unterhaltungen, die ihrer Fähigkeit an", : 
019775210,L-1779-211953768,Abvz,"IV 145, 10a",1779,Kleine Kinderbibliothek : , : 
01272727X,L-1767-155606743,Abvz,"IV 145, 26",1767,Magazin für die neue Historie und Geographie : , : 
012705500,L-1724-19613532X,Abvz,"IV 145, 29",1724,Der @Patriot : ,",  : , "
01824579X,L-1768-179313363,Abvz,"IV 155, 3",1765,Verkehrter Welt-Calender : , : 
011925736,L-1703-176416900,Abvz,"IV 162, 6",1703,Acta litteraria ex manuscriptis eruta atque collecta : , : 
013047426,L-1715-174995849,Abvz,"IV 179, 6",1715,Selecta historica et literaria : , : 
017287278,L-1740-195886194,Abvz,"IV 179, 10",1740,Der @Einsiedler : , : 
012663921,L-1689-192227955,Abvz,"IV 205, 7 o",1689,Monatliche Unterredungen einiger guten Freunde von allerhand Büchern und andern annehmlichen Geschichten : allen Liebhabern der Curiositäten zur Erget, : 
012663921,L-1689-192531557,Abvz,"IV 205, 7 oa",1689,Monatliche Unterredungen einiger guten Freunde von allerhand Büchern und andern annehmlichen Geschichten : allen Liebhabern der Curiositäten zur Erget, : 
012673455,L-1712-471261742,Abvz,"IV 205, 7 x",1712,"Deutsche Acta eruditorum oder Geschichte der Gelehrten, welche den gegenwärtigen Zustand der Literatur in Europa begreiffen : ", : 
012608971,L-1735-192240536,Abvz,"IV 205, 8 h",1735,"Die @Neue Europäische Fama, Welche den gegenwärtigen Zustand der vornehmsten Höfe entdecket : ", : 
01260903X,L-1702-159712033,Abvz,"IV 205, 8 h",1702,"Die @europäische Fama, welche den gegenwärtigen Zustand der vornehmsten Höfe entdecket : ", : 
012673463,L-1740-168506475,Abvz,"IV 205, 8 i",1740,"Zuverlässige Nachrichten von dem gegenwärtigen Zustande, Veränderung und Wachsthum der Wissenschaften : ", : 
016673581,L-1709-163897727,Abvz,"IV 205, 8 l",1709,"Johann Hübners Supplementa zu seinen historischen, genealogischen und geographischen Fragen : ", : 
012010669,L-1785-180416898,Abvz,"IV 205, 9 l",1785,Neue Leipziger gelehrte Zeitungen : , : 
011742763,L-1784-179298224,Abvz,"IV 205, 14k",1784,Briefwechsel der Familie des Kinderfreundes : , : 
018410472,L-1762-166185221,Abvz,"IV 205, 18 k",1762,Landbibliothek zu einem angenehmen und lehrreichen Zeitvertreibe aus verschiedenen Sprachen zusammen getragen : , : 
012715786,L-1765-163552533,Abvz,"IV 205, 18 x",1765,Churfürstlich-Sächsischer Hof- und Staatscalender : ,",  : , "
012731692,L-1751-168584956,Abvz,"IV 205, 22 o",1751,Das @Neueste aus der anmuthigen Gelehrsamkeit : , : 
013090755,L-1754-171502736,Abvz,"IV 205, 22g",1754,Sammlung einiger ausgesuchten Stücke der Gesellschaft der Freyen Künste zu Leipzig : , : 
012743119,L-1784-176804196,Abvz,"IV 205, 27",1784,Leipziger Taschenbuch für Frauenzimmer zum Nutzen und Vergnügen : , : 
011244542,L-1757-154744751,Abvz,"IV 205, 32 b",1757,Bibliothek der schönen Wissenschaften und der freyen Künste : , : 
018238858,L-1781-162789416,Abvz,"IV 205, 50",1781,Der @Greis : , : 
016179404,L-1763-164319794,Abvz,"IV 205, 51",1763,"Allergnädigst privilegirtes Leipziger Intelligenz-Blatt : in Frag- und Anzeigen, für Stadt- und Land-Wirthe, zum Besten des Nahrungsstandes", : 
012705233,L-1716-140756876,Abvz,"IV 205, 57b",1716,Miscellanea Lipsiensia ad incrementum rei litterariae edita : , : 
011278404,L-1770-15465468X,Abvz,"IV 205, 65",1770,Almanach der deutschen Musen : auf das Jahr .., : 
012997978,L-1776-168492784,Abvz,"IV 205, 66",1776,Leipziger Musenalmanach : , : 
012730068,L-1749-354142879,Abvz,"IV 205, 74 c",1749,Oeconomische Nachrichten : ,",  : , "
012010677,L-1715-180417770,Abvz,"IV 205, 97 a",1715,Neuer Zeitungen von Gelehrten Sachen auf das Jahr ... Theil : , : 
018605893,L-1682-170046265,Abvz,"IV 205, 103",1682,Leipziger Post- und Ordinar-Zeitung : ,",  : , "
015460630,L-1734-18041500X,Abvz,"IV 205, 104",1734,Leipziger Zeitungen : , : 
019064063,L-1712-175360057,Abvz,"IV 205, 115",1712,"Lehr-, Kunst- und Welt-Calender vor Sr. Königl. Majestät in Pohlen und Churfürstl. Durchl. zu Sachsen Churfürstenthum, incorporiert und andere Lande :", : 
978991567,L-1757-159674093,Abvz,"IV 210 B, 1",1757,"Etrennes mignones, curieuses, utiles et intéressantes : pour l'an ...", : 
01948139X,L-1752-15604532X,Abvz,"IV 216, 11",1752,"L' @Abeille du Parnasse ou nouveau choix de pensées, reflexions, maximes portraits et caracteres : par ...", : 
012807265,L-1784-168342464,Abvz,"IV 232, 2 a",1784,Patriotisches Archiv für Deutschland : , : 
013662228,L-1729-154472565,Abvz,"IV 273, 8 f",1705,"Nicolai Schmieds oder des gelehrten Bauers verbesserter und neuer Schreib-Calender : darinnen zu finden ..., die zu einem Calender gehören", : 
011869755,L-1780-165137010,Abvz,"IV 273, 20",1780,Kinderzeitung : , : 
012813893,L-1756-169068064,Abvz,"IV 273, 31",1756,Samuel Wilhelm Oetters wöchentlichen Wappenbelustigung ... Stück : , : 
026956586,L-1746-170874389,Abvz,"IV 273, 42",1746,Der @monathlich-herausgegebenen Insecten-Belustigung ... Theil : , : 
016259440,L-1689-695173723,Abvz,"IV 273, 63",1689,"Europäischer Mercurius oder Götter-Both : das ist jetzt lebend- und regierender Potentaten Kriegs- und Friedens-Actiones, darinnen monatlich dem curie", : 
013465600,L-1720-155361503,Abvz,"IV 278, 3",1716,"Der @Hinkende und Stolpernde doch eilfertig fliegend und laufende Bote, Evangelisch verbesserter und Katholisch neuer, Europäisch allgemeiner Staats-K", : 
012485500,L-1752-381892417,Abvz,"IV 291, 20",1752,"Observations sur l'histoire naturelle, sur la physique et sur la peinture : ", : 
01549389X,L-1756-381892476,Abvz,"IV 291, 20",1756,"Observations périodiques sur la physique, l'histoire naturelle et les arts ou Journal des sciences et arts : ", : 
01549389X,L-1756-418080283,Abvz,"IV 291, 20 a",1756,"Observations périodiques sur la physique, l'histoire naturelle et les arts ou Journal des sciences et arts : ", : 
978991567,L-1757-432606157,Abvz,"IV 291, 53a",1757,"Etrennes mignones, curieuses, utiles et intéressantes : pour l'an ...", : 
012810851,L-1769-16338228X,Abvz,"IV 323, 7",1769,"Kritische Wälder, oder Betrachtungen, die Wissenschaft und Kunst des Schönen betreffend : ", : 
011889160,L-1732-168448106,Abvz,"IV 343, 4",1732,Sammlung rußischer Geschichte : ,",  : , "
012973696,L-1781-16446168X,Abvz,"IV 343, 4",1781,Neues St.-Petersburgisches Journal : vom Jahre ..., : 
978931386,L-1742-344276848,Abvz,"IV 347, 5",1722,Merckwürdigkeiten der neuesten Welt-Geschichten : , : 
011285230,L-1773-192233122,Abvz,"IV 420, 3",1773,Der @teutsche Merkur : , : 
013034936,L-1781-49019575X,Abvz,"IV 442, [6]",1781,Kirchen- und Ketzer-Almanach : ,",  : , "
